,index,coordinates
126,1791,"(35.801760000000002, -78.687399999999997)"
127,1792,"(35.801960000000001, -78.607200000000006)"
128,1793,"(35.802190000000003, -78.620599999999996)"
129,1794,"(35.802619999999997, -78.620000000000005)"
130,1797,"(35.804099999999998, -78.645600000000002)"
131,1799,"(35.804929999999999, -78.6434)"
132,1803,"(35.807009999999998, -78.615899999999996)"
133,1817,"(35.817689999999999, -78.600800000000007)"
134,1818,"(35.817990000000002, -78.595399999999998)"
135,1822,"(35.818779999999997, -78.595699999999994)"
136,1823,"(35.81917, -78.623800000000003)"
137,1824,"(35.819209999999998, -78.623699999999999)"
138,1825,"(35.819580000000002, -78.623900000000006)"
139,1827,"(35.821330000000003, -78.628799999999998)"
140,1830,"(35.823189999999997, -78.608900000000006)"
141,1832,"(35.824019999999997, -78.587699999999998)"
142,1835,"(35.825360000000003, -78.619799999999998)"
143,1839,"(35.82741, -78.620199999999997)"
144,1845,"(35.83408, -78.563199999999995)"
145,1847,"(35.834820000000001, -78.602199999999996)"
146,1853,"(35.835709999999999, -78.610200000000006)"
147,1855,"(35.836019999999998, -78.611099999999993)"
148,1856,"(35.836080000000003, -78.581500000000005)"
149,1858,"(35.837719999999997, -78.608400000000003)"
150,1859,"(35.838729999999998, -78.612399999999994)"
151,1860,"(35.839390000000002, -78.673599999999993)"
152,1861,"(35.839449999999999, -78.677099999999996)"
153,1862,"(35.839779999999998, -78.691999999999993)"
154,1863,"(35.839930000000003, -78.665499999999994)"
155,1866,"(35.840940000000003, -78.613100000000003)"
156,1867,"(35.84198, -78.575900000000004)"
157,1868,"(35.843609999999998, -78.548100000000005)"
158,1869,"(35.844000000000001, -78.643799999999999)"
159,1870,"(35.844119999999997, -78.614199999999997)"
160,1871,"(35.84498, -78.569299999999998)"
161,1872,"(35.845320000000001, -78.653999999999996)"
162,1874,"(35.845999999999997, -78.643500000000003)"
163,1875,"(35.84657, -78.563400000000001)"
164,1877,"(35.847430000000003, -78.644199999999998)"
165,1879,"(35.849080000000001, -78.602800000000002)"
166,1880,"(35.849229999999999, -78.601699999999994)"
167,1882,"(35.850479999999997, -78.614699999999999)"
168,1883,"(35.850720000000003, -78.614599999999996)"
169,1884,"(35.850949999999997, -78.614400000000003)"
170,1886,"(35.851640000000003, -78.614500000000007)"
171,1889,"(35.855539999999998, -78.575800000000001)"
172,1890,"(35.855719999999998, -78.639799999999994)"
173,1891,"(35.856499999999997, -78.600499999999997)"
174,1892,"(35.856769999999997, -78.712500000000006)"
175,1893,"(35.857500000000002, -78.581699999999998)"
176,1894,"(35.857950000000002, -78.680700000000002)"
177,1896,"(35.858289999999997, -78.704700000000003)"
178,1901,"(35.859250000000003, -78.704499999999996)"
179,1902,"(35.859740000000002, -78.713099999999997)"
180,1903,"(35.859760000000001, -78.582300000000004)"
181,1904,"(35.85989, -78.720699999999994)"
182,1905,"(35.863689999999998, -78.602199999999996)"
183,1906,"(35.864930000000001, -78.645200000000003)"
184,1907,"(35.865699999999997, -78.642399999999995)"
185,1910,"(35.86777, -78.621099999999998)"
186,1911,"(35.868299999999998, -78.620699999999999)"
187,1912,"(35.868510000000001, -78.620400000000004)"
188,1914,"(35.869689999999999, -78.544799999999995)"
189,1915,"(35.870049999999999, -78.583200000000005)"
190,1917,"(35.875360000000001, -78.623099999999994)"
191,1918,"(35.875680000000003, -78.722399999999993)"
192,1920,"(35.876559999999998, -78.645399999999995)"
193,1922,"(35.879280000000001, -78.539299999999997)"
194,1923,"(35.879289999999997, -78.595500000000001)"
195,1924,"(35.879300000000001, -78.625100000000003)"
196,1925,"(35.879620000000003, -78.625200000000007)"
197,1926,"(35.87997, -78.735699999999994)"
198,1928,"(35.882080000000002, -78.737399999999994)"
199,1929,"(35.882579999999997, -78.657399999999996)"
200,1930,"(35.882660000000001, -78.548699999999997)"
201,1931,"(35.883339999999997, -78.658000000000001)"
202,1932,"(35.883429999999997, -78.561499999999995)"
203,1934,"(35.887360000000001, -78.565200000000004)"
204,1935,"(35.888649999999998, -78.678399999999996)"
205,1938,"(35.891390000000001, -78.717799999999997)"
206,1940,"(35.893160000000002, -78.508499999999998)"
207,1962,"(35.903799999999997, -78.656999999999996)"
208,1967,"(35.906010000000002, -78.593000000000004)"
209,2006,"(35.920610000000003, -78.757800000000003)"
210,1414,"(35.725639999999999, -78.581100000000006)"
211,1422,"(35.731439999999999, -78.622299999999996)"
212,1438,"(35.740369999999999, -78.630300000000005)"
213,1440,"(35.741439999999997, -78.588899999999995)"
214,1443,"(35.743090000000002, -78.650599999999997)"
215,1447,"(35.743870000000001, -78.680400000000006)"
216,1449,"(35.745190000000001, -78.649000000000001)"
217,1459,"(35.748489999999997, -78.644800000000004)"
218,1462,"(35.75009, -78.694999999999993)"
219,1463,"(35.750430000000001, -78.693399999999997)"
220,1471,"(35.755589999999998, -78.597899999999996)"
221,1473,"(35.756450000000001, -78.649299999999997)"
222,1474,"(35.756680000000003, -78.699700000000007)"
223,1477,"(35.757840000000002, -78.6126)"
224,1483,"(35.759639999999997, -78.639700000000005)"
225,1484,"(35.759790000000002, -78.637900000000002)"
226,1485,"(35.759819999999998, -78.644400000000005)"
227,1487,"(35.760449999999999, -78.613699999999994)"
228,1488,"(35.761229999999998, -78.558000000000007)"
229,1492,"(35.763219999999997, -78.727000000000004)"
230,1501,"(35.765740000000001, -78.599900000000005)"
231,1502,"(35.765860000000004, -78.582599999999999)"
232,1503,"(35.765860000000004, -78.635800000000003)"
233,1505,"(35.766829999999999, -78.632900000000006)"
234,1506,"(35.767040000000001, -78.637200000000007)"
235,1507,"(35.767629999999997, -78.622699999999995)"
236,1508,"(35.767670000000003, -78.637100000000004)"
237,1510,"(35.76811, -78.579899999999995)"
238,1512,"(35.768970000000003, -78.709299999999999)"
239,1514,"(35.769440000000003, -78.594499999999996)"
240,1518,"(35.770499999999998, -78.729100000000003)"
241,1520,"(35.770769999999999, -78.648200000000003)"
242,1521,"(35.770910000000001, -78.606899999999996)"
243,1522,"(35.770940000000003, -78.641800000000003)"
244,1523,"(35.771050000000002, -78.619100000000003)"
245,1524,"(35.772419999999997, -78.588899999999995)"
246,1525,"(35.773299999999999, -78.625900000000001)"
247,1528,"(35.775010000000002, -78.641099999999994)"
248,1529,"(35.775039999999997, -78.646100000000004)"
249,1530,"(35.775599999999997, -78.638499999999993)"
250,1531,"(35.775660000000002, -78.6404)"
251,1532,"(35.775689999999997, -78.656999999999996)"
252,1533,"(35.776040000000002, -78.605699999999999)"
253,1534,"(35.776200000000003, -78.640299999999996)"
254,1536,"(35.776649999999997, -78.683199999999999)"
255,1537,"(35.77693, -78.640199999999993)"
256,1538,"(35.776980000000002, -78.638300000000001)"
257,1539,"(35.777000000000001, -78.643500000000003)"
258,1540,"(35.777760000000001, -78.636600000000001)"
259,1541,"(35.778309999999998, -78.639300000000006)"
260,1542,"(35.778399999999998, -78.677899999999994)"
261,1543,"(35.778480000000002, -78.6434)"
262,1544,"(35.780000000000001, -78.614400000000003)"
263,1545,"(35.780009999999997, -78.606700000000004)"
264,1546,"(35.780239999999999, -78.621799999999993)"
265,1547,"(35.780279999999998, -78.643600000000006)"
266,1548,"(35.780650000000001, -78.675299999999993)"
267,1549,"(35.780670000000001, -78.624899999999997)"
268,1550,"(35.78069, -78.6477)"
269,1551,"(35.780729999999998, -78.675299999999993)"
270,1552,"(35.78078, -78.675600000000003)"
271,1553,"(35.781089999999999, -78.638199999999998)"
272,1554,"(35.781140000000001, -78.640000000000001)"
273,1555,"(35.781280000000002, -78.643299999999996)"
274,1557,"(35.78199, -78.625100000000003)"
275,1558,"(35.782170000000001, -78.642899999999997)"
276,1561,"(35.782359999999997, -78.656999999999996)"
277,1562,"(35.78257, -78.669899999999998)"
278,1564,"(35.782719999999998, -78.6417)"
279,1565,"(35.783110000000001, -78.614699999999999)"
280,1567,"(35.783360000000002, -78.641499999999994)"
281,1568,"(35.783619999999999, -78.622100000000003)"
282,1569,"(35.78369, -78.656599999999997)"
283,1570,"(35.784689999999998, -78.590699999999998)"
284,1572,"(35.785020000000003, -78.587100000000007)"
285,1573,"(35.78546, -78.647300000000001)"
286,1575,"(35.786029999999997, -78.634399999999999)"
287,1577,"(35.786119999999997, -78.637799999999999)"
288,1579,"(35.786720000000003, -78.664199999999994)"
289,1581,"(35.788049999999998, -78.669300000000007)"
290,1582,"(35.788600000000002, -78.647000000000006)"
291,1584,"(35.789560000000002, -78.676100000000005)"
292,1585,"(35.789569999999998, -78.676299999999998)"
293,1586,"(35.789610000000003, -78.676400000000001)"
294,1588,"(35.790610000000001, -78.659300000000002)"
295,1589,"(35.790689999999998, -78.650300000000001)"
296,1590,"(35.790860000000002, -78.662700000000001)"
297,1592,"(35.790889999999997, -78.715800000000002)"
298,1595,"(35.791710000000002, -78.661000000000001)"
299,1596,"(35.792070000000002, -78.672200000000004)"
300,1597,"(35.793210000000002, -78.709199999999996)"
301,1598,"(35.793640000000003, -78.548400000000001)"
302,1599,"(35.794490000000003, -78.708699999999993)"
303,1604,"(35.796779999999998, -78.579899999999995)"
304,1606,"(35.799010000000003, -78.563999999999993)"
305,1607,"(35.799399999999999, -78.569000000000003)"
306,1608,"(35.799770000000002, -78.561800000000005)"
307,1609,"(35.800420000000003, -78.565899999999999)"
308,1610,"(35.801609999999997, -78.624200000000002)"
309,1611,"(35.802250000000001, -78.624600000000001)"
310,1614,"(35.803989999999999, -78.700699999999998)"
311,1616,"(35.804380000000002, -78.646100000000004)"
312,1618,"(35.805190000000003, -78.723699999999994)"
313,1620,"(35.806559999999998, -78.614999999999995)"
314,1626,"(35.810650000000003, -78.577500000000001)"
315,1633,"(35.814039999999999, -78.628200000000007)"
316,1635,"(35.815309999999997, -78.689499999999995)"
317,1636,"(35.815989999999999, -78.666300000000007)"
318,1637,"(35.816040000000001, -78.594399999999993)"
319,1638,"(35.816299999999998, -78.703100000000006)"
320,1641,"(35.819209999999998, -78.623699999999999)"
321,1642,"(35.819839999999999, -78.628100000000003)"
322,1645,"(35.822989999999997, -78.709199999999996)"
323,1650,"(35.828719999999997, -78.585300000000004)"
324,1653,"(35.82976, -78.581100000000006)"
325,1659,"(35.833289999999998, -78.607399999999998)"
326,1660,"(35.835189999999997, -78.581999999999994)"
327,1661,"(35.835230000000003, -78.614999999999995)"
328,1662,"(35.835450000000002, -78.596800000000002)"
329,1663,"(35.836269999999999, -78.596900000000005)"
330,1666,"(35.83661, -78.680099999999996)"
331,1667,"(35.83663, -78.580799999999996)"
332,1668,"(35.836820000000003, -78.608400000000003)"
333,1670,"(35.83793, -78.614000000000004)"
334,1672,"(35.83954, -78.643000000000001)"
335,1675,"(35.841450000000002, -78.575500000000005)"
336,1676,"(35.842750000000002, -78.574200000000005)"
337,1677,"(35.843719999999998, -78.613900000000001)"
338,1679,"(35.844459999999998, -78.545199999999994)"
339,1680,"(35.844790000000003, -78.643699999999995)"
340,1681,"(35.845030000000001, -78.609899999999996)"
341,1682,"(35.846559999999997, -78.579400000000007)"
342,1683,"(35.849910000000001, -78.693899999999999)"
