index,coordinates
1470,"(35.749029999999998, -78.632900000000006)"
1471,"(35.750239999999998, -78.648799999999994)"
1473,"(35.750770000000003, -78.611800000000002)"
1476,"(35.751690000000004, -78.649199999999993)"
1482,"(35.753529999999998, -78.644000000000005)"
1484,"(35.754109999999997, -78.612499999999997)"
1485,"(35.754159999999999, -78.613)"
1487,"(35.75441, -78.649199999999993)"
1488,"(35.754469999999998, -78.615099999999998)"
1489,"(35.754510000000003, -78.612799999999993)"
1490,"(35.754539999999999, -78.612399999999994)"
1491,"(35.754840000000002, -78.606800000000007)"
1498,"(35.759079999999997, -78.549899999999994)"
1502,"(35.760300000000001, -78.617000000000004)"
1503,"(35.760759999999998, -78.615499999999997)"
1505,"(35.760930000000002, -78.613600000000005)"
1507,"(35.761760000000002, -78.663200000000003)"
1509,"(35.76285, -78.614400000000003)"
1510,"(35.763530000000003, -78.7286)"
1512,"(35.763680000000001, -78.554699999999997)"
1513,"(35.765790000000003, -78.632999999999996)"
1514,"(35.765819999999998, -78.632900000000006)"
1515,"(35.766629999999999, -78.697299999999998)"
1516,"(35.767319999999998, -78.577299999999994)"
1517,"(35.767879999999998, -78.628200000000007)"
1518,"(35.768650000000001, -78.6143)"
1520,"(35.769269999999999, -78.586799999999997)"
1521,"(35.769280000000002, -78.644599999999997)"
1523,"(35.769399999999997, -78.635300000000001)"
1525,"(35.769660000000002, -78.659199999999998)"
1527,"(35.771079999999998, -78.647999999999996)"
1532,"(35.77234, -78.626900000000006)"
1533,"(35.773310000000002, -78.692300000000003)"
1534,"(35.773409999999998, -78.611699999999999)"
1537,"(35.77525, -78.628)"
1538,"(35.77608, -78.643799999999999)"
1541,"(35.776730000000001, -78.640100000000004)"
1542,"(35.776809999999998, -78.636600000000001)"
1543,"(35.776820000000001, -78.638400000000004)"
1544,"(35.776899999999998, -78.611699999999999)"
1545,"(35.776949999999999, -78.6982)"
1547,"(35.778280000000002, -78.640100000000004)"
1548,"(35.778350000000003, -78.638400000000004)"
1549,"(35.779020000000003, -78.617699999999999)"
1550,"(35.779449999999997, -78.622299999999996)"
1551,"(35.779580000000003, -78.613)"
1552,"(35.779969999999999, -78.602500000000006)"
1553,"(35.780450000000002, -78.622299999999996)"
1554,"(35.780560000000001, -78.622299999999996)"
1555,"(35.78058, -78.645799999999994)"
1557,"(35.780790000000003, -78.650499999999994)"
1558,"(35.781030000000001, -78.636399999999995)"
1559,"(35.781239999999997, -78.638199999999998)"
1560,"(35.781410000000001, -78.672399999999996)"
1561,"(35.782699999999998, -78.668499999999995)"
1562,"(35.782850000000003, -78.670900000000003)"
1564,"(35.783630000000002, -78.687100000000001)"
1565,"(35.784730000000003, -78.634500000000003)"
1566,"(35.784770000000002, -78.686999999999998)"
1567,"(35.784999999999997, -78.687200000000004)"
1568,"(35.785409999999999, -78.647300000000001)"
1569,"(35.785589999999999, -78.686300000000003)"
1570,"(35.785620000000002, -78.701300000000003)"
1571,"(35.785629999999998, -78.693100000000001)"
1572,"(35.785789999999999, -78.700500000000005)"
1574,"(35.78593, -78.607600000000005)"
1575,"(35.78595, -78.712000000000003)"
1577,"(35.786720000000003, -78.664199999999994)"
1578,"(35.786720000000003, -78.664199999999994)"
1579,"(35.786720000000003, -78.664199999999994)"
1580,"(35.787840000000003, -78.738100000000003)"
1581,"(35.787970000000001, -78.639700000000005)"
1582,"(35.788200000000003, -78.676500000000004)"
1583,"(35.788420000000002, -78.671099999999996)"
1585,"(35.788809999999998, -78.575199999999995)"
1587,"(35.789029999999997, -78.586100000000002)"
1589,"(35.789479999999998, -78.666499999999999)"
1592,"(35.790950000000002, -78.659400000000005)"
1593,"(35.791150000000002, -78.662899999999993)"
1594,"(35.791370000000001, -78.657399999999996)"
1596,"(35.792279999999998, -78.682400000000001)"
1598,"(35.795580000000001, -78.574799999999996)"
1599,"(35.79674, -78.583600000000004)"
1603,"(35.797130000000003, -78.698899999999995)"
1605,"(35.797519999999999, -78.574600000000004)"
1606,"(35.79757, -78.656599999999997)"
1608,"(35.798520000000003, -78.616100000000003)"
1609,"(35.798949999999998, -78.623000000000005)"
1610,"(35.79927, -78.721800000000002)"
1612,"(35.799729999999997, -78.716399999999993)"
1614,"(35.799810000000001, -78.723500000000001)"
1616,"(35.800240000000002, -78.716099999999997)"
1617,"(35.800319999999999, -78.561199999999999)"
1622,"(35.805880000000002, -78.593400000000003)"
1623,"(35.806159999999998, -78.638499999999993)"
1630,"(35.813099999999999, -78.689700000000002)"
1631,"(35.813319999999997, -78.625100000000003)"
1633,"(35.814219999999999, -78.677700000000002)"
1635,"(35.815219999999997, -78.625900000000001)"
1636,"(35.815249999999999, -78.689300000000003)"
1638,"(35.815530000000003, -78.700299999999999)"
1641,"(35.815809999999999, -78.694699999999997)"
1648,"(35.823709999999998, -78.5886)"
1649,"(35.824120000000001, -78.591899999999995)"
1650,"(35.82479, -78.618600000000001)"
1651,"(35.824890000000003, -78.708699999999993)"
1652,"(35.825229999999998, -78.630200000000002)"
1653,"(35.825980000000001, -78.621399999999994)"
1656,"(35.828769999999999, -78.619600000000005)"
1659,"(35.83034, -78.618899999999996)"
1661,"(35.8307, -78.619299999999996)"
1663,"(35.832279999999997, -78.569199999999995)"
1665,"(35.834069999999997, -78.712299999999999)"
1666,"(35.834400000000002, -78.582599999999999)"
1668,"(35.834780000000002, -78.6053)"
1669,"(35.834899999999998, -78.615499999999997)"
1670,"(35.835039999999999, -78.6524)"
1671,"(35.835659999999997, -78.609800000000007)"
1672,"(35.835709999999999, -78.5792)"
1673,"(35.836199999999998, -78.674499999999995)"
1674,"(35.83625, -78.674800000000005)"
1675,"(35.83625, -78.645799999999994)"
1676,"(35.836449999999999, -78.585400000000007)"
1677,"(35.836559999999999, -78.593299999999999)"
1679,"(35.838270000000001, -78.691800000000001)"
1680,"(35.838279999999997, -78.674000000000007)"
1682,"(35.840009999999999, -78.612200000000001)"
1683,"(35.840319999999998, -78.611599999999996)"
1685,"(35.84075, -78.665099999999995)"
1686,"(35.840919999999997, -78.612399999999994)"
1687,"(35.841160000000002, -78.678399999999996)"
1690,"(35.844200000000001, -78.579899999999995)"
1692,"(35.845820000000003, -78.593699999999998)"
1693,"(35.845840000000003, -78.587299999999999)"
1699,"(35.849490000000003, -78.583500000000001)"
1700,"(35.849919999999997, -78.647800000000004)"
1701,"(35.850110000000001, -78.580699999999993)"
1702,"(35.850209999999997, -78.580299999999994)"
1704,"(35.850879999999997, -78.585800000000006)"
1709,"(35.854649999999999, -78.557900000000004)"
1710,"(35.854680000000002, -78.705699999999993)"
1713,"(35.855609999999999, -78.575800000000001)"
1714,"(35.857239999999997, -78.666300000000007)"
1715,"(35.859389999999998, -78.706500000000005)"
1716,"(35.8596, -78.646500000000003)"
1717,"(35.86027, -78.704599999999999)"
1719,"(35.861640000000001, -78.598500000000001)"
1720,"(35.865479999999998, -78.592100000000002)"
1721,"(35.867080000000001, -78.620599999999996)"
1724,"(35.869970000000002, -78.580100000000002)"
1725,"(35.871510000000001, -78.679000000000002)"
1726,"(35.87229, -78.718699999999998)"
1727,"(35.875239999999998, -78.6447)"
1737,"(35.883890000000001, -78.739900000000006)"
1739,"(35.885509999999996, -78.6601)"
1740,"(35.885959999999997, -78.589699999999993)"
1746,"(35.889040000000001, -78.719499999999996)"
1748,"(35.889710000000001, -78.556299999999993)"
1752,"(35.893039999999999, -78.650099999999995)"
1755,"(35.898760000000003, -78.681100000000001)"
1757,"(35.898910000000001, -78.559200000000004)"
1758,"(35.899749999999997, -78.6815)"
1761,"(35.899889999999999, -78.558099999999996)"
1764,"(35.901090000000003, -78.6815)"
1791,"(35.9129, -78.781700000000001)"
1793,"(35.914839999999998, -78.782499999999999)"
1801,"(35.918640000000003, -78.795699999999997)"
1871,"(35.961669999999998, -78.562100000000001)"
1522,"(35.726480000000002, -78.56344)"
1537,"(35.731346000000002, -78.653649999999999)"
1547,"(35.736412000000001, -78.650406000000004)"
1558,"(35.74183, -78.614599999999996)"
1561,"(35.742252000000001, -78.631134000000003)"
1563,"(35.742733000000001, -78.633790000000005)"
1568,"(35.747450000000001, -78.542429999999996)"
1570,"(35.748615000000001, -78.612815999999995)"
1572,"(35.748897999999997, -78.648920000000004)"
1573,"(35.749256000000003, -78.695610000000002)"
1574,"(35.749625999999999, -78.618200000000002)"
1575,"(35.751854000000002, -78.630340000000004)"
1578,"(35.752406999999998, -78.556984)"
1579,"(35.752853000000002, -78.63194)"
1582,"(35.754530000000003, -78.612390000000005)"
1585,"(35.755543000000003, -78.666049999999998)"
1592,"(35.759064000000002, -78.638596000000007)"
1593,"(35.76003, -78.732635000000002)"
1595,"(35.761288, -78.649055000000004)"
1596,"(35.763443000000002, -78.633279999999999)"
1597,"(35.7637, -78.662959999999998)"
1598,"(35.763897, -78.641279999999995)"
1603,"(35.765799999999999, -78.633970000000005)"
1605,"(35.766295999999997, -78.697609999999997)"
1606,"(35.766933000000002, -78.705439999999996)"
1607,"(35.766953000000001, -78.694969999999998)"
1608,"(35.76699, -78.637110000000007)"
1609,"(35.767277, -78.642005999999995)"
1614,"(35.768307, -78.650109999999998)"
1616,"(35.768425000000001, -78.694069999999996)"
1617,"(35.768932, -78.709289999999996)"
1618,"(35.770287000000003, -78.612970000000004)"
1621,"(35.771087999999999, -78.647155999999995)"
1622,"(35.771408000000001, -78.582599999999999)"
1624,"(35.772213000000001, -78.636849999999995)"
1628,"(35.7727, -78.628296000000006)"
1630,"(35.773009999999999, -78.639499999999998)"
